487b.6bf6.03ac	Gi6/1/2        
f479.6084.9ecf	Gi6/0/2        
d48c.b55a.d3c0	Gi6/0/0        
b4f5.8e12.1bec	Gi6/0/0        
00a0.0aca.7616	Gi6/0/2        
3400.a348.8771	Gi6/0/0        
0020.d257.89c1	Gi4/0/5        
0025.9eaf.1a79	Gi6/1/3        
0020.d256.541c	100GE7/0/0     
0021.9432.2e09	Gi6/0/1        
18b8.1fff.ded4	100GE7/0/0     
9835.ed32.d2cb	Gi6/1/2        
2065.8eb8.e913	Gi6/1/3        
dc99.1428.cbc9	Gi6/1/2        
bc62.0e0c.c626	Gi6/0/0        
a069.8602.6604	100GE7/0/0     
88bc.c1a0.d628	100GE7/0/0     
0011.0700.bf0a	100GE7/0/0     
00d0.d653.27f3	Gi6/1/3        
3c0e.2325.6ee5	Gi6/0/0        
a0e0.aff2.6fe0	Eth-Trunk6     
88cf.9866.7399	Gi6/0/0        
500f.809c.6bbf	100GE7/0/0     
58f3.9cca.3e40	Gi6/1/3        
0020.d257.7f39	Gi6/0/0        
0000.290f.14b2	Gi6/0/2        
00a0.26c6.5399	100GE7/0/0     
3cce.730f.a7c1	Gi4/0/5        
0020.d254.f31a	Gi4/0/5        
4482.e516.58dc	Gi6/0/2        
6c41.6a2d.cde5	Gi6/1/3        
b443.2673.16c6	100GE7/0/0     
d0ef.c15d.2ee3	100GE7/0/0     
f098.3878.1627	100GE7/0/0     
0020.d257.8ab8	Gi4/0/5        
3872.c00b.7219	100GE7/0/0     
2cab.0098.d3a9	Gi6/1/3        
88cf.9866.731d	Gi6/1/3        
0021.941b.1e5e	Gi4/0/2        
f479.6084.a637	Gi6/0/0        
e8bd.d164.3859	Eth-Trunk6     
0002.ab11.2ba7	Gi6/1/3        
0800.3e0e.03ec	Gi6/0/2        
00d0.d606.9c5e	Gi6/1/3        
a0e0.afdb.4be0	Gi6/1/2        
00ea.bd0a.943f	Gi6/0/0        
ecbd.1d7e.f200	Gi6/0/2        
7c39.53fa.039d	Gi6/0/1        
a44c.11c0.d32a	Gi6/1/2        
8038.bc16.ea56	Gi6/1/3        
0021.9424.98fc	100GE7/0/0     
0020.d23b.e548	Gi6/0/2        
0020.d242.3996	100GE7/0/0     
706e.6dc9.1b40	Gi6/0/0        
0011.0700.a4fa	100GE7/0/0     
0c41.e9a0.dbe7	100GE7/0/0     
0021.9410.c4dc	Gi6/0/0        
f8c2.8840.1441	Gi6/0/2        
b443.2673.16c6	100GE7/0/0     
0020.d257.2b3b	Gi4/0/5        
501d.93f8.8c69	100GE7/0/0     
0021.9433.c3bd	100GE7/0/0     
b443.2673.16c6	100GE7/0/0     
f479.6084.8e1f	100GE7/0/0     
00a0.26c6.4645	Gi6/0/2        
dc99.1401.6bc1	Gi6/0/0        
