f02f.a75b.bba1	100GE7/0/0     
3872.c00b.7219	Gi4/0/5        
1ed0.d65d.8934	100GE7/0/0     
0081.c438.f3a0	100GE7/0/0     
5489.9818.7128	Gi6/0/4        
b0ac.d21e.5e45	Gi6/0/4        
a0e0.afda.d7a1	100GE7/0/0     
58c2.32e0.ad20	Gi6/0/4        
0020.d237.f482	Gi6/0/4        
0020.d23b.e548	100GE7/0/0     
0025.5c56.0620	Gi6/0/4        
0020.d256.a473	Gi6/0/4        
7426.ace0.e8e0	100GE7/0/0     
a03d.6f94.0c40	100GE7/0/0     
0020.d237.afd7	Gi6/0/4        
a0e0.aff2.3980	100GE7/0/0     
0021.9424.9320	Gi4/0/2        
007e.952c.3085	100GE7/0/0     
0021.9431.4437	Gi6/0/4        
00d0.d648.4b5b	100GE7/0/0     
bc16.653f.bb20	100GE7/0/0     
0027.e3d2.e640	100GE7/0/0     
5c83.8f46.8b00	100GE7/0/0     
707d.b939.9b00	100GE7/0/0     
2c54.2d28.e420	Eth-Trunk2     
a80c.0d91.a300	Eth-Trunk2     
0042.68ed.a9a0	100GE7/0/0     
f098.3878.1627	Gi6/0/4        
007e.952c.03a5	100GE7/0/0     
d0ef.c171.9635	100GE7/0/0     
60de.f3c7.631a	100GE7/0/0     
78da.6e9b.e0e0	100GE7/0/0     
0021.940c.cf72	Gi4/0/5        
286f.7f33.c120	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
501d.93f8.8d6c	Gi6/0/4        
0800.3ede.b3d8	Gi6/0/4        
0026.44bf.ba0c	Gi4/0/1        
0020.d254.1418	Gi6/0/4        
a0e0.aff2.4340	Eth-Trunk2     
0021.9432.0869	Gi4/0/5        
40ee.dd54.fe8b	100GE7/0/0     
00f8.2c0e.7fe5	100GE7/0/0     
2cf8.9bb7.b080	100GE7/0/0     
881d.fc02.af01	100GE7/0/0     
a023.9f39.67e1	100GE7/0/0     
3c0e.2325.93a5	100GE7/0/0     
0800.3e0e.034c	100GE7/0/0     
cc16.7ed5.f680	Gi6/0/4        
0800.3e0e.02e2	100GE7/0/0     
0002.ab12.cb5b	Gi6/0/4        
7079.b36a.abf0	100GE7/0/0     
14a0.f885.fba1	Gi6/0/4        
9813.334b.cc7a	Gi6/0/4        
0800.3e0e.046d	100GE7/0/0     
04c5.a4ec.77c1	Gi4/0/10       
b443.2673.128e	100GE7/0/0     
ecf0.feed.a018	Gi6/0/4        
00a0.0aca.a266	100GE7/0/0     
60de.f3c6.e7cb	100GE7/0/0     
7c1c.f140.c30b	100GE7/0/0     
7c1c.f140.c309	100GE7/0/0     
3c75.4a72.c0e2	Gi4/0/10       
0021.9433.54cf	Gi6/0/4        
0020.d254.2f3c	Gi6/0/4        
d0ef.c15d.2f72	100GE7/0/0     
003a.7ddc.243f	Gi6/0/4        
04c5.a452.c8c1	Gi6/0/4        
00d0.d610.6aeb	100GE7/0/0     
0021.9433.42d5	Gi6/0/4        
d48c.b55a.a480	100GE7/0/0     
f898.ef14.4983	100GE7/0/0     
501c.bfce.0fe5	Eth-Trunk2     
5061.bfc8.3ae0	100GE7/0/0     
0020.d256.f219	Gi6/0/4        
0025.5c32.8c10	100GE7/0/0     
0800.3e0e.0312	100GE7/0/0     
4482.e516.58f8	100GE7/0/0     
70ca.9bbe.3555	100GE7/0/0     
8069.338d.9876	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0800.3e0e.01e1	100GE7/0/0     
5c83.8f46.6e60	100GE7/0/0     
8cfd.183a.cc93	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0020.d256.a8d7	Gi6/0/4        
