5078.b398.3c8c	Gi0/2/5        
8c68.c891.8614	Gi0/2/5        
0021.9416.3b8a	Gi0/2/5        
0021.9432.c973	Gi0/2/6        
646d.6c6e.2119	Gi0/2/5        
3091.8f0b.4604	Gi0/2/5        
5078.b399.42ac	Gi0/2/5        
3872.c078.ea19	Gi0/2/5        
0021.942c.22be	Gi0/2/5        
5078.b3b2.d49c	Gi0/2/5        
d060.8c0d.ff6c	Gi0/2/6        
8c15.c79b.1725	Gi0/2/5        
807d.14e6.d757	Gi0/2/5        
0021.9424.7e74	Gi0/2/5        
0021.940a.6698	Gi0/2/5        
d060.8c0d.df44	Gi0/2/5        
646d.6c6f.1054	Gi0/2/6        
646d.6c6d.b863	Gi0/2/5        
0021.942a.ddce	Gi0/2/5        
0021.942c.fcc8	Gi0/2/5        
0026.4466.c048	Gi0/2/5        
b0ac.d266.332f	Gi0/2/5        
b0ac.d267.19cf	Gi0/2/5        
0014.7faf.d974	Gi0/2/5        
1c59.9ba2.6de4	Gi0/2/5        
0021.9423.6d38	Gi0/2/5        
5078.b398.e4fc	Gi0/2/5        
b0ac.d221.1f5f	Gi0/2/5        
646d.6c6e.19e3	Gi0/2/5        
0021.941a.02de	Gi0/2/5        
646d.6c6f.014c	Gi0/2/5        
8c68.c8a6.2380	Gi0/2/6        
7c39.53f9.0003	Gi0/2/5        
0021.942c.6836	Gi0/2/6        
b0ac.d266.a77f	Gi0/2/5        
0021.942b.650a	Gi0/2/5        
3091.8f0b.306e	Gi0/2/5        
001f.9f89.2624	Gi0/2/6        
000e.50fd.236e	Gi0/2/5        
0021.9409.c2be	Gi0/2/6        
b0ac.d267.1f3b	Gi0/2/5        
5489.980d.89ff	Gi0/2/4        
0025.9edc.301c	Gi0/2/4        
7c39.53f8.b81f	Gi0/2/5        
0c41.e9c9.fd6c	Gi0/2/4        
0021.940c.f1a4	Gi0/2/5        
7c39.53f8.b963	Gi0/2/5        
3091.8f04.4a32	Gi0/2/5        
