b0ac.d21e.4c8b	Eth-Trunk10    
78c1.a721.9c2a	Eth-Trunk1     
940b.19c3.c1f7	Eth-Trunk10    
0021.940b.a930	Eth-Trunk10    
0021.942b.c210	Eth-Trunk1     
0021.941e.06ae	Eth-Trunk1     
f098.3878.1624	Eth-Trunk1     
b0ac.d266.8d56	Eth-Trunk10    
000e.50fd.1ee7	Eth-Trunk10    
78c1.a722.2ede	Eth-Trunk10    
b443.2673.16c6	Eth-Trunk1     
0021.9431.4437	Eth-Trunk1     
6468.0cfb.07ee	Eth-Trunk10    
0021.940f.f696	Eth-Trunk10    
b4f5.8e12.0ce3	Eth-Trunk1     
501d.93f8.8c67	Eth-Trunk1     
3872.c00f.79c7	Eth-Trunk10    
5078.b398.decc	Eth-Trunk10    
0021.9415.f87c	Eth-Trunk10    
0014.7faf.4302	Eth-Trunk10    
b443.2673.16c6	Eth-Trunk1     
0021.9434.8e8b	Eth-Trunk10    
0021.9423.b1a2	Eth-Trunk10    
f098.3877.f188	Eth-Trunk1     
9813.334c.c8e4	Eth-Trunk1     
940b.19c3.65e6	Eth-Trunk10    
e024.7fc4.6a4f	Eth-Trunk1     
001f.9f74.7d9c	Eth-Trunk10    
940b.19c3.6a92	Eth-Trunk1     
3099.3597.76e7	Eth-Trunk10    
8c68.c891.3d3c	Eth-Trunk10    
b0ac.d266.fe17	Eth-Trunk10    
2c97.b16e.790e	Eth-Trunk1     
0021.9416.25a0	Eth-Trunk10    
0021.942d.8026	Eth-Trunk10    
5078.b399.663c	Eth-Trunk10    
3099.3597.ac77	Eth-Trunk1     
0021.941f.3ef0	Eth-Trunk10    
3099.3597.756b	Eth-Trunk1     
8c68.c8a5.a1ec	Eth-Trunk1     
b0ac.d221.3903	Eth-Trunk10    
1c59.9ba2.4b83	Eth-Trunk10    
3099.3597.50a7	Eth-Trunk1     
501d.93f8.8d6c	Eth-Trunk1     
0021.9412.dba8	Eth-Trunk10    
7c39.53f7.dcd7	Eth-Trunk10    
5078.b397.ef04	Eth-Trunk10    
0021.9415.77ac	Eth-Trunk10    
0021.9431.f351	Eth-Trunk10    
0021.9409.7008	Eth-Trunk1     
5078.b397.edd4	Eth-Trunk10    
0021.942c.0590	Eth-Trunk1     
b4f5.8e12.0b36	Eth-Trunk1     
b0ac.d21e.4fcb	Eth-Trunk1     
0021.941a.ef90	Eth-Trunk10    
d060.8c0c.9018	Eth-Trunk10    
0026.44bf.d958	Eth-Trunk10    
0021.9410.be82	Eth-Trunk1     
0021.941a.d0a0	Eth-Trunk10    
646d.6c6e.c512	Eth-Trunk10    
0021.942c.4fa0	Eth-Trunk10    
286f.7f33.c120	Eth-Trunk1     
28ff.3e21.9054	Eth-Trunk1     
0021.940a.4ac0	Eth-Trunk10    
58f3.9cd1.66a0	Eth-Trunk1     
0021.9431.5505	Eth-Trunk10    
807d.14d8.d733	Eth-Trunk10    
ecf0.feeb.88e8	Eth-Trunk10    
b0ac.d21c.f6a7	Eth-Trunk10    
b0ac.d221.1a1b	Eth-Trunk1     
b0ac.d21e.5333	Eth-Trunk10    
0021.9431.170d	Eth-Trunk10    
0021.9423.b1c6	Eth-Trunk10    
0021.941e.b16c	Eth-Trunk10    
e097.96b3.2234	Eth-Trunk10    
b0ac.d21e.50bf	Eth-Trunk10    
0021.940b.7b46	Eth-Trunk1     
6468.0cfb.77ba	Eth-Trunk10    
0024.1787.c080	Eth-Trunk10    
0014.7ff9.7376	Eth-Trunk10    
3099.3597.a573	Eth-Trunk1     
0024.1786.cb78	Eth-Trunk10    
2c97.b16e.82d7	Eth-Trunk1     
0014.7ffd.6084	Eth-Trunk10    
6468.0cfb.03f2	Eth-Trunk10    
d060.8c0d.817c	Eth-Trunk10    
0026.44bf.c45c	Eth-Trunk10    
7c39.53f8.8c6f	Eth-Trunk10    
0021.9422.9e6e	Eth-Trunk10    
ecf0.feeb.8d60	Eth-Trunk1     
3099.3597.7637	Eth-Trunk10    
8c68.c891.b3c4	Eth-Trunk1     
807d.14d8.ab7a	Eth-Trunk1     
0021.940c.9c8a	Eth-Trunk10    
b0ac.d21d.1073	Eth-Trunk10    
7c39.53f8.f147	Eth-Trunk10    
0024.1788.2880	Eth-Trunk10    
487b.6bf6.03aa	Eth-Trunk1     
0021.941e.ba6c	Eth-Trunk10    
b0ac.d21d.0fa3	Eth-Trunk10    
807d.14e6.cec2	Eth-Trunk10    
78c1.a722.2ffe	Eth-Trunk10    
f88e.857e.d4ef	Eth-Trunk10    
f02f.a75b.bba4	Eth-Trunk1     
0021.9415.77be	Eth-Trunk10    
8c68.c891.30e8	Eth-Trunk10    
0021.9433.ca8f	Eth-Trunk10    
b0ac.d267.0113	Eth-Trunk10    
501d.93f8.8c22	Eth-Trunk1     
c4b8.b46e.1fae	Eth-Trunk1     
f02f.a7c3.0894	Eth-Trunk1     
f07f.062c.efc0	Eth-Trunk1     
d060.8c0e.14f0	Eth-Trunk1     
0021.942b.9828	Eth-Trunk1     
7c39.53f8.40eb	Eth-Trunk1     
7c39.53f7.c377	Eth-Trunk10    
0021.940a.57c2	Eth-Trunk10    
0021.9434.4127	Eth-Trunk1     
0021.9410.347c	Eth-Trunk10    
f88e.8581.b827	Eth-Trunk10    
b0ac.d267.1e73	Eth-Trunk10    
5078.b399.44cc	Eth-Trunk1     
60de.f3c6.2c0c	Eth-Trunk1     
f098.3877.f83c	Eth-Trunk1     
b0ac.d266.2c1b	Eth-Trunk1     
b443.2673.16c6	Eth-Trunk1     
d060.8c0d.e154	Eth-Trunk10    
d060.8c0d.79cc	Eth-Trunk1     
d060.8c0c.ef90	Eth-Trunk1     
b0ac.d266.fb8f	Eth-Trunk10    
0021.940b.cfd0	Eth-Trunk10    
b0ac.d21e.5b1f	Eth-Trunk10    
5078.b397.f614	Eth-Trunk10    
0021.9423.0c30	Eth-Trunk10    
0021.940d.899c	Eth-Trunk1     
d060.8c0d.ac38	Eth-Trunk10    
0026.4466.f364	Eth-Trunk10    
501d.93f8.8c69	Eth-Trunk1     
001f.9f89.2902	Eth-Trunk10    
0021.9412.50ac	Eth-Trunk10    
8c68.c8a5.a0b4	Eth-Trunk1     
5c83.8f46.87a0	Eth-Trunk1     
3872.c003.0974	Eth-Trunk10    
6468.0c94.6e05	Eth-Trunk10    
5078.b399.a044	Eth-Trunk10    
2c97.b16e.7910	Eth-Trunk1     
0021.941f.9038	Eth-Trunk10    
0021.942b.665a	Eth-Trunk10    
70ca.9bbe.3555	Eth-Trunk10    
9813.334b.ab90	Eth-Trunk1     
0021.9432.b851	Eth-Trunk10    
0026.44bf.d5b8	Eth-Trunk1     
9813.334c.4900	Eth-Trunk10    
b0ac.d21e.3b5f	Eth-Trunk1     
0021.940c.d18e	Eth-Trunk10    
b0ac.d267.5717	Eth-Trunk1     
0021.940b.7b2e	Eth-Trunk10    
d060.8c0d.ab68	Eth-Trunk10    
b443.2673.16c6	Eth-Trunk1     
b0ac.d21d.2d5b	Eth-Trunk1     
3099.3597.50a9	Eth-Trunk1     
ec4d.4773.95ed	Eth-Trunk1     
0021.9434.1fbb	Eth-Trunk10    
d060.8c0c.ef9c	Eth-Trunk10    
9813.334b.af94	Eth-Trunk10    
70df.2fe2.e658	Eth-Trunk1     
0021.9433.33bd	Eth-Trunk10    
0021.940a.b468	Eth-Trunk1     
78c1.a722.23aa	Eth-Trunk10    
e024.7fc4.6a4d	Eth-Trunk1     
5078.b398.0ccc	Eth-Trunk10    
487b.6bf6.03ac	Eth-Trunk1     
5078.b397.e824	Eth-Trunk10    
d060.8c0d.1510	Eth-Trunk1     
60de.f3c6.2c0a	Eth-Trunk1     
5078.b3b2.7454	Eth-Trunk10    
0021.941b.1df8	Eth-Trunk10    
8c68.c8a5.db90	Eth-Trunk1     
f88e.85ba.f6d8	Eth-Trunk1     
f88e.85a0.3bf7	Eth-Trunk10    
b443.2673.16c6	Eth-Trunk1     
b443.2673.16c6	Eth-Trunk1     
e097.96b3.2236	Eth-Trunk10    
0021.940a.fd64	Eth-Trunk10    
1c59.9ba2.4204	Eth-Trunk10    
b0ac.d265.c74b	Eth-Trunk1     
940b.19c3.c7f5	Eth-Trunk1     
60de.f3c6.e7c8	Eth-Trunk1     
0021.9409.b0be	Eth-Trunk1     
7c1c.f140.c306	Eth-Trunk1     
b0ac.d221.2557	Eth-Trunk10    
0021.9432.cd93	Eth-Trunk10    
0021.9432.28e7	Eth-Trunk10    
ecf0.feec.e300	Eth-Trunk1     
0024.1792.b5ab	Eth-Trunk10    
b4f5.8e12.09fe	Eth-Trunk10    
1c59.9ba2.a7ef	Eth-Trunk10    
0021.9432.3dc9	Eth-Trunk10    
3872.c095.8548	Eth-Trunk10    
0014.7fe4.ca01	Eth-Trunk10    
0021.9417.8f9c	Eth-Trunk10    
9813.334c.aa64	Eth-Trunk1     
8c68.c891.3b0b	Eth-Trunk1     
9813.334c.2bee	Eth-Trunk1     
9813.334b.abcc	Eth-Trunk10    
d060.8c0c.7b64	Eth-Trunk1     
9813.334c.af70	Eth-Trunk10    
3099.3597.58bf	Eth-Trunk10    
d060.8c0d.75b0	Eth-Trunk10    
0021.9415.1500	Eth-Trunk10    
0014.7f61.4fbe	Eth-Trunk1     
b0ac.d21c.f8bf	Eth-Trunk10    
5078.b397.f434	Eth-Trunk10    
501d.93f8.8d6f	Eth-Trunk1     
646d.6c6e.5c1b	Eth-Trunk10    
3091.8f0b.4556	Eth-Trunk10    
0021.9412.c8a0	Eth-Trunk1     
a023.9f39.7140	Eth-Trunk1     
0026.445c.d928	Eth-Trunk10    
b443.2673.128e	Eth-Trunk1     
9813.334c.4998	Eth-Trunk10    
0021.9433.4437	Eth-Trunk10    
501d.93f8.8c25	Eth-Trunk1     
7c39.53f9.03d3	Eth-Trunk1     
2c97.b16e.82dc	Eth-Trunk1     
501d.93f8.8c64	Eth-Trunk1     
f098.3877.f18b	Eth-Trunk1     
b0ac.d266.43a7	Eth-Trunk10    
b0ac.d267.37d3	Eth-Trunk1     
20e8.82f3.ba20	Eth-Trunk1     
0021.9433.c3ab	Eth-Trunk10    
0021.9423.f006	Eth-Trunk10    
8c68.c891.3ce0	Eth-Trunk10    
e097.96b3.2231	Eth-Trunk10    
0021.9433.33e1	Eth-Trunk10    
0021.942b.52ec	Eth-Trunk1     
3872.c015.c37c	Eth-Trunk10    
7c39.53f8.f4f9	Eth-Trunk1     
b0ac.d266.8d53	Eth-Trunk10    
8c68.c8ab.7b70	Eth-Trunk1     
0021.9424.36b0	Eth-Trunk10    
6468.0cfa.aeca	Eth-Trunk10    
b0ac.d266.2a9f	Eth-Trunk10    
0021.941a.8f48	Eth-Trunk10    
7c39.53f8.d6ab	Eth-Trunk10    
3099.3597.76b3	Eth-Trunk10    
807d.14d9.8624	Eth-Trunk1     
